time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443770020608,14,25125.76,,0.13671875,123,0
443770020864,15,25125.76,,0.09375,124,0
443770021120,15,25125.76,,0.140625,126,0
443770021376,15,25125.76,,0.046875,128,0
443770021632,14,25125.76,,0.0625,128,0
443770021888,14,25125.76,,0.26171875,129,0
443770022144,14,23465.76,,0.16015625,129,0
443770022400,13,23465.76,,0.2734375,128,0
443770022656,13,23465.76,,0.16796875,127,0
443770022912,13,19375.52,,0.1015625,126,0
443770023168,13,19375.52,,0.1953125,126,0
443770023424,13,19375.52,,0.21875,126,0
443770023680,14,19375.52,,0.12109375,127,0
443770023936,14,19375.52,,0.12109375,128,0
443770024192,14,24913.28,,0.04296875,128,0
443770024448,15,24913.28,,0.015625,129,0
443770024704,15,24913.28,,0.03125,129,0
443770024960,16,24913.28,,0.0859375,129,0
443770025216,16,24913.28,,0.03515625,129,0
443770025472,15,23877.44,,0.15625,129,0
443770025728,15,23877.44,,0.2421875,128,0
443770025984,14,23877.44,,0.1640625,126,0
443770026240,14,23877.44,,0.140625,126,0
443770026496,14,23877.44,,0.19140625,125,0
443770026752,14,21407.36,,0.109375,124,0
443770027008,13,21407.36,,0.0703125,123,0
443770027264,13,21407.36,,0.0703125,123,0
443770027520,13,21407.36,,0.12109375,122,0
443770027776,13,20119.2,,0.0625,122,0
443770028032,13,20119.2,,0.0625,123,0
443770028288,13,20119.2,,0.14453125,123,0
443770028544,12,20119.2,,0.1328125,124,0
443770028800,12,20119.2,,0.11328125,126,0
443770029056,12,21672.96,,0.04296875,126,0
443770029312,12,21672.96,,0.02734375,126,0
443770029568,12,21672.96,,0.015625,125,0
443770029824,12,21672.96,,0.05078125,125,0
443770030080,12,21672.96,,0.0625,125,0
443770030336,12,24222.719999999998,,0.078125,124,0
443770030592,13,24222.719999999998,,0.06640625,122,0
443770030848,13,24222.719999999998,,0.02734375,121,0
443770031104,13,24222.719999999998,,0.0234375,120,0
443770031360,13,24275.84,,0.015625,120,0
443770031616,13,24275.84,,0.015625,119,0
443770031872,13,24275.84,,0.0,119,0
443770032128,12,24275.84,,0.01953125,118,0
443770032384,13,21951.84,,0.015625,117,0
443770032640,13,21951.84,,0.0,116,0
443770032896,13,21951.84,,0.046875,115,0
443770033152,13,21951.84,,0.1328125,114,0
443770033408,13,22323.68,,0.1015625,113,0
443770033664,13,22323.68,,0.0390625,113,0
443770033920,14,22323.68,,0.0859375,112,0
443770034176,14,22323.68,,0.1328125,112,0
443770034432,14,22323.68,,0.12109375,114,0
443770034688,14,22323.68,,0.171875,116,0
443770034944,14,22921.28,,0.0546875,116,0
443770035200,13,22921.28,,0.03515625,116,0
443770035456,13,22921.28,,0.04296875,116,0
443770035712,13,22921.28,,0.1171875,116,0
443770035968,13,21487.039999999997,,0.07421875,116,0
443770036224,13,21487.039999999997,,0.08984375,116,0
443770036480,13,21487.039999999997,,0.0703125,115,0
443770036736,13,21487.039999999997,,0.1015625,115,0
443770036992,13,21487.039999999997,,0.0703125,115,0
443770037248,13,18791.2,,0.12109375,114,0
443770037504,13,18791.2,,0.1875,111,0
443770037760,13,18791.2,,0.0546875,110,0
443770038016,13,18791.2,,0.03125,109,0
443770038272,13,18791.2,,0.01953125,108,0
443770038528,13,18791.2,,0.08984375,107,0
443770038784,13,18671.68,,0.0234375,106,0
443770039040,13,18671.68,,0.015625,105,0
443770039296,13,18671.68,,0.03515625,104,0
443770039552,13,18937.28,,0.07421875,103,0
443770039808,13,18937.28,,0.11328125,102,0
443770040064,13,18937.28,,0.0859375,102,0
443770040320,13,18937.28,,0.05078125,103,0
443770040576,13,18937.28,,0.04296875,104,0
443770040832,13,18937.28,,0.05859375,105,0
443770041088,13,18260.0,,0.1015625,105,0
443770041344,13,18260.0,,0.12890625,105,0
443770041600,12,18260.0,,0.08984375,104,0
443770041856,12,18260.0,,0.203125,104,0
443770042112,12,18260.0,,0.03515625,104,0
443770042368,12,18260.0,,0.14453125,104,0
443770042624,12,17131.2,,0.06640625,101,0
443770042880,12,17131.2,,0.05859375,100,0
443770043136,12,17131.2,,0.03515625,99,0
443770043392,11,17131.2,,0.1171875,100,0
443770043648,11,17131.2,,0.25,102,0
443770043904,11,17131.2,,0.09765625,104,0
443770044160,12,16825.76,,0.08984375,103,0
443770044416,12,16825.76,,0.07421875,100,0
443770044672,12,16825.76,,0.15234375,98,0
443770044928,12,16825.76,,0.15625,98,0
443770045184,12,16825.76,,0.234375,98,0
